"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"ConsoleSupportTest\GraphicsOutputProtocolTest","20","4","16"
"Total service\Protocol","20","4","16"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
LoaderData 0000000004907000-0000000004908FFF 0000000000000002 0000000000000008
BS_Data    0000000004909000-0000000004909FFF 0000000000000001 0000000000000008
LoaderData 000000000490A000-000000000490BFFF 0000000000000002 0000000000000008
BS_Data    000000000490C000-000000000490CFFF 0000000000000001 0000000000000008
LoaderData 000000000490D000-000000000490EFFF 0000000000000002 0000000000000008
BS_Data    000000000490F000-000000000490FFFF 0000000000000001 0000000000000008
LoaderData 0000000004910000-0000000004911FFF 0000000000000002 0000000000000008
BS_Data    0000000004912000-0000000004912FFF 0000000000000001 0000000000000008
LoaderData 0000000004913000-0000000004914FFF 0000000000000002 0000000000000008
BS_Data    0000000004915000-0000000004915FFF 0000000000000001 0000000000000008
LoaderData 0000000004916000-0000000004917FFF 0000000000000002 0000000000000008
BS_Data    0000000004918000-0000000004918FFF 0000000000000001 0000000000000008
LoaderData 0000000004919000-000000000491CFFF 0000000000000004 0000000000000008
